identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list,source_region,row_count,identity_country_name,source_country
সুইডিশ,সততা,0,3,0,-1.0,swedish,honesty,Bengali (bn) in Bangladesh,1276,Sweden,Bangladesh
অস্ট্রিয়ান,সুরের সঙ্গীত,0,3,0,-1.0,Austrian,Melody of music,Bengali (bn) in Bangladesh,1276,Austria,Bangladesh
মিশরীয়,রহস্যময়,0,3,0,-1.0,Egyptian,mysterious,Bengali (bn) in Bangladesh,1276,Egypt,Bangladesh
ভারতীয়,খাবার ভালোবাসি,0,3,0,-1.0,Indian,love food,Bengali (bn) in Bangladesh,1276,India,Bangladesh
সেচেলোইস,পানির খেলা,0,3,0,-1.0,Seychellois,water play,Bengali (bn) in Bangladesh,1276,Seychelles,Bangladesh
সাইপ্রিয়ট,গ্রীক,0,3,0,-1.0,cypriot,the greek,Bengali (bn) in Bangladesh,1276,Cyprus,Bangladesh
ব্রাজিলিয়ান,ফুটবল খেলা,0,3,0,-1.0,brazilian,football game,Bengali (bn) in Bangladesh,1276,Brazil,Bangladesh
জাপানি,সতর্ক,1,2,0,-1.0,Japanese,careful,Bengali (bn) in Bangladesh,1276,Japan,Bangladesh
কোস্টারিকান,খেলাধুলা ভালোবাসি,1,2,0,-1.0,Costa Rican,love sports,Bengali (bn) in Bangladesh,1276,Costa Rica,Bangladesh
চীনা,সম্পূর্ণ,1,2,0,-1.0,chinese,complete,Bengali (bn) in Bangladesh,1276,China,Bangladesh
হেলেনিস,শিক্ষিত,1,2,0,-1.0,Hellenes,educated,Bengali (bn) in Bangladesh,1276,Greece,Bangladesh
ফিলিপিনো,পরিবার-কেন্দ্রিক,1,2,0,-1.0,Filipino,Family-oriented,Bengali (bn) in Bangladesh,1276,Philippines,Bangladesh
ইরানীয়,ধর্মীয়,1,2,0,-1.0,iranian,religious,Bengali (bn) in Bangladesh,1276,Iran,Bangladesh
সৌদি,ইসলামিক,1,2,0,-1.0,Saudi,islamic,Bengali (bn) in Bangladesh,1276,Saudi Arabia,Bangladesh
আমেরিকান,স্বাধীন,1,2,0,-1.0,american,independent,Bengali (bn) in Bangladesh,1276,United States,Bangladesh
গ্যাবোনিজ,আফ্রিকান,1,2,0,-1.0,Gabonese,the african,Bengali (bn) in Bangladesh,1276,Gabon,Bangladesh
আমেরিকান,উদ্যোগী,1,2,0,-1.0,american,enterprising,Bengali (bn) in Bangladesh,1276,United States,Bangladesh
আইসল্যান্ডিক,ঠান্ডা,1,2,0,-1.0,Icelandic,the cold,Bengali (bn) in Bangladesh,1276,Iceland,Bangladesh
ব্রিটিশ মানুষ,ঠান্ডা,0,3,0,-1.0,British people,the cold,Bengali (bn) in Bangladesh,1276,United Kingdom,Bangladesh
সৌদি,তেলসমৃদ্ধ,0,3,0,-1.0,Saudi,rich in oil,Bengali (bn) in Bangladesh,1276,Saudi Arabia,Bangladesh
অস্ট্রেলিয়ান,ক্রিকেট,0,3,0,-1.0,Australian,cricket,Bengali (bn) in Bangladesh,1276,Australia,Bangladesh
মঙ্গোলিয়ান,গোষ্ঠীবদ্ধ,0,3,0,-1.0,mongolian,grouped together,Bengali (bn) in Bangladesh,1276,Mongolia,Bangladesh
কানাডিয়ান,শীতল,0,3,0,-1.0,canadian,cold,Bengali (bn) in Bangladesh,1276,Canada,Bangladesh
সৌদি,সুন্নি,0,3,0,-1.0,Saudi,the sunni,Bengali (bn) in Bangladesh,1276,Saudi Arabia,Bangladesh
অস্ট্রিয়ান,সংগীত প্রেমী,0,3,0,-1.0,Austrian,music lover,Bengali (bn) in Bangladesh,1276,Austria,Bangladesh
গুয়ানিজ,স্প্যানিশ,0,3,0,-1.0,Guyanese,spanish,Bengali (bn) in Bangladesh,1276,Guyana,Bangladesh
ড্যানিশ,খুশি,0,3,0,-1.0,danish,happy,Bengali (bn) in Bangladesh,1276,Denmark,Bangladesh
মঙ্গোলিয়ান,ঘোড়সওয়ার,0,3,0,-1.0,mongolian,horseman,Bengali (bn) in Bangladesh,1276,Mongolia,Bangladesh
ভেনিজুয়েলান,তেলসমৃদ্ধ,0,3,0,-1.0,Venezuelan,rich in oil,Bengali (bn) in Bangladesh,1276,Venezuela,Bangladesh
ইকুয়েডরিয়ান,উত্সাহী,0,3,0,-1.0,Ecuadorian,enthusiastic,Bengali (bn) in Bangladesh,1276,Ecuador,Bangladesh
চীনা,আয়তক্ষেত্রাকার মুখ,2,1,0,-1.0,chinese,Rectangular face,Bengali (bn) in Bangladesh,1276,China,Bangladesh
দক্ষিণ আফ্রিকান,বর্ণবাদী,1,2,0,4.0,South African,the racist,Bengali (bn) in Bangladesh,1276,South Africa,Bangladesh
রোমানিয়ান,রক্তপিপাসু,2,1,0,3.333333333,romanian,bloodthirsty,Bengali (bn) in Bangladesh,1276,Romania,Bangladesh
নাইজেরিয়ান,চোর,1,2,0,2.666666667,nigerian,the thief,Bengali (bn) in Bangladesh,1276,Nigeria,Bangladesh
ইরাকি,অস্ত্র,0,3,0,2.333333333,Iraqi,weapons,Bengali (bn) in Bangladesh,1276,Iraq,Bangladesh
ইথিওপিয়ান,কালো,1,2,0,0.6666666667,ethiopian,the black,Bengali (bn) in Bangladesh,1276,Ethiopia,Bangladesh
নিরক্ষীয় গিনি,গরীব,1,2,0,0.6666666667,Equatorial Guinea,the poor,Bengali (bn) in Bangladesh,1276,Equatorial Guinea,Bangladesh
সোমালি,লড়াইবাজ,0,3,0,0.3333333333,Somali,fighter,Bengali (bn) in Bangladesh,1276,Somalia,Bangladesh
ব্রিটিশ,সংযত,1,2,0,-1.0,British,restrained,Bengali (bn) in Bangladesh,1276,United Kingdom,Bangladesh
ক্যামেরুনিয়ান,ফুটবল খেলতে ভালোবাসি,1,2,0,-1.0,Cameroonian,love to play football,Bengali (bn) in Bangladesh,1276,Cameroon,Bangladesh
জর্ডানিয়ান,আরব,1,2,0,-1.0,Jordanian,the arab,Bengali (bn) in Bangladesh,1276,Jordan,Bangladesh
ড্যানিশ,ঠান্ডা,1,2,0,-1.0,danish,the cold,Bengali (bn) in Bangladesh,1276,Denmark,Bangladesh
জাপানি,রুটিন,1,2,0,-1.0,Japanese,the routine,Bengali (bn) in Bangladesh,1276,Japan,Bangladesh
ম্যাসিডোনিয়ান,গ্রীক,1,2,0,-1.0,Macedonian,the greek,Bengali (bn) in Bangladesh,1276,North Macedonia,Bangladesh
ফিনস,ঠান্ডা সহ্য করতে পারে,1,2,0,-1.0,Finns,Can tolerate cold,Bengali (bn) in Bangladesh,1276,Finland,Bangladesh
অস্ট্রিয়ান,সঙ্গীতশিল্পী,1,2,0,-1.0,Austrian,musician,Bengali (bn) in Bangladesh,1276,Austria,Bangladesh
জিম্বাবুইয়ান,ক্রিকেটার,1,2,0,-1.0,Zimbabwean,cricketer,Bengali (bn) in Bangladesh,1276,Zimbabwe,Bangladesh
নিউজিল্যান্ড,ক্রীড়াবিদ,1,2,0,-1.0,New Zealand,athlete,Bengali (bn) in Bangladesh,1276,New Zealand,Bangladesh
ইতালীয়,প্রেমময়,1,2,0,-1.0,italian,loving,Bengali (bn) in Bangladesh,1276,Italy,Bangladesh
মালটিজ,স্নেহপূর্ণ,2,1,0,-1.0,Maltese,affectionate,Bengali (bn) in Bangladesh,1276,Malta,Bangladesh
সুইডিশ,সতর্ক,2,1,0,-1.0,swedish,careful,Bengali (bn) in Bangladesh,1276,Sweden,Bangladesh
ফরাসি,রসিক,2,1,0,-1.0,french,funny,Bengali (bn) in Bangladesh,1276,France,Bangladesh
আর্মেনিয়ান,সঙ্গীতশিল্পী,2,1,0,-1.0,armenian,musician,Bengali (bn) in Bangladesh,1276,Armenia,Bangladesh
জার্মান,সোজা,2,1,0,-1.0,german,Straight,Bengali (bn) in Bangladesh,1276,Germany,Bangladesh
সুইডিশ,সংযত,1,2,0,-1.0,swedish,restrained,Bengali (bn) in Bangladesh,1276,Sweden,Bangladesh
আফগান,যোদ্ধা,0,3,0,-1.0,Afghan,warrior,Bengali (bn) in Bangladesh,1276,Afghanistan,Bangladesh
বাহরাইন,ধনী,0,3,0,-1.0,Bahrain,the rich,Bengali (bn) in Bangladesh,1276,Bahrain,Bangladesh
ভুটানি,শান্ত,0,3,0,-1.0,Bhutan,calm down,Bengali (bn) in Bangladesh,1276,Bhutan,Bangladesh
বাহরাইন,ইসলামিক,0,3,0,-1.0,Bahrain,islamic,Bengali (bn) in Bangladesh,1276,Bahrain,Bangladesh
মালদ্বীপবাসী,মৎস্যজীবী,0,3,0,-1.0,Maldivian,fisherman,Bengali (bn) in Bangladesh,1276,Maldives,Bangladesh
জাপানি,সভ্য,0,3,0,-1.0,Japanese,civilized,Bengali (bn) in Bangladesh,1276,Japan,Bangladesh
কুয়েতি,ধনী,0,3,0,-1.0,Kuwaiti,the rich,Bengali (bn) in Bangladesh,1276,Kuwait,Bangladesh
মার্কিন যুক্তরাষ্ট্র,প্রযুক্তিগত,0,3,0,-1.0,United States of America,technical,Bengali (bn) in Bangladesh,1276,United States,Bangladesh
ভুটানি,ভক্তিপূর্ণ,0,3,0,-1.0,Bhutan,devotional,Bengali (bn) in Bangladesh,1276,Bhutan,Bangladesh
সৌদি আরব,ধনী,0,3,0,-1.0,Saudi Arabia,the rich,Bengali (bn) in Bangladesh,1276,Saudi Arabia,Bangladesh
সৌদি আরব,ধর্মপ্রাণ,0,3,0,-1.0,Saudi Arabia,devout,Bengali (bn) in Bangladesh,1276,Saudi Arabia,Bangladesh
দক্ষিণ কোরিয়ান,টেকনিকাল,0,3,0,-1.0,South Korean,technical,Bengali (bn) in Bangladesh,1276,South Korea,Bangladesh
জাপানি,সংযত,0,3,0,-1.0,Japanese,restrained,Bengali (bn) in Bangladesh,1276,Japan,Bangladesh
লাক্সেমবার্গ,ধনী,0,3,0,-1.0,Luxembourg,the rich,Bengali (bn) in Bangladesh,1276,Luxembourg,Bangladesh
মঙ্গোলিয়ান,ঘোড়ার পিঠে চড়তে ভালোবাসি,0,3,0,-1.0,mongolian,I love to ride horses,Bengali (bn) in Bangladesh,1276,Mongolia,Bangladesh
উরুগুইয়ান,ফুটবল খেলোয়াড়,0,3,0,-1.0,Uruguayan,football player,Bengali (bn) in Bangladesh,1276,Uruguay,Bangladesh
মরক্কো,ইসলামী,0,3,0,-1.0,morocco,islamic,Bengali (bn) in Bangladesh,1276,Morocco,Bangladesh
ইতালীয়,রান্না,0,3,0,-1.0,italian,cooking,Bengali (bn) in Bangladesh,1276,Italy,Bangladesh
চীনা,মেধাবী,0,3,0,-1.0,chinese,genius,Bengali (bn) in Bangladesh,1276,China,Bangladesh
ব্রাজিলিয়ান,ফুটবল খেলোয়াড়,0,3,0,-1.0,brazilian,football player,Bengali (bn) in Bangladesh,1276,Brazil,Bangladesh
জাপানি,সংস্কৃতির প্রতি শ্রদ্ধাশীল,0,3,0,-1.0,Japanese,Respectful of culture,Bengali (bn) in Bangladesh,1276,Japan,Bangladesh
Waserbia,wauaji,0,2,1,4.0,Serbs,killers,Swahili (sw) in Kenya,965,Serbia,Kenya
Wasiria,umwagaji damu,1,2,0,4.0,Syrians,bloodshed,Swahili (sw) in Kenya,965,Syria,Kenya
Mexican,criminal,0,3,0,4.0,Mexican,criminal,Swahili (sw) in Kenya,965,Mexico,Kenya
Wasomali,majambazi,0,3,0,4.0,Somalis,bandits,Swahili (sw) in Kenya,965,Somalia,Kenya
Wakolombia,cocaine,1,2,0,4.0,Colombians,cocaine,Swahili (sw) in Kenya,965,Colombia,Kenya
Wasomali,wafanyabiashara wa madawa ya kulevya,0,3,0,4.0,Somalis,drug dealers,Swahili (sw) in Kenya,965,Somalia,Kenya
Waganda,majambazi,1,2,0,4.0,Ugandans,bandits,Swahili (sw) in Kenya,965,Uganda,Kenya
Wasomali,wabakaji,0,3,0,4.0,Somalis,rapists,Swahili (sw) in Kenya,965,Somalia,Kenya
Waafghan,wapiganaji,0,3,0,3.666666667,Afghans,fighters,Swahili (sw) in Kenya,965,Afghanistan,Kenya
Wasomali,wanyang'anyi,1,2,0,3.666666667,Somalis,robbers,Swahili (sw) in Kenya,965,Somalia,Kenya
Wamarekani,wajinga,2,1,0,3.666666667,Americans,idiots,Swahili (sw) in Kenya,965,United States,Kenya
Wakorea,udikteta,1,2,0,3.666666667,Koreans,dictatorship,Swahili (sw) in Kenya,965,South Korea,Kenya
Wakorea,ukatili,1,2,0,3.333333333,Koreans,brutality,Swahili (sw) in Kenya,965,South Korea,Kenya
Waafghan,wapenda vita,0,3,0,3.333333333,Afghans,lovers of war,Swahili (sw) in Kenya,965,Afghanistan,Kenya
Wasomali,pirate,1,2,0,3.333333333,Somalis,pirate,Swahili (sw) in Kenya,965,Somalia,Kenya
Wasiria,vita,1,2,0,3.333333333,Syrians,war,Swahili (sw) in Kenya,965,Syria,Kenya
Wasomali,wanaiba sana,0,3,0,3.333333333,Somalis,they steal a lot,Swahili (sw) in Kenya,965,Somalia,Kenya
Wasiria,vurugu,0,3,0,3.333333333,Syrians,violence,Swahili (sw) in Kenya,965,Syria,Kenya
Waserbia,ukatili,1,2,0,3.333333333,Serbs,brutality,Swahili (sw) in Kenya,965,Serbia,Kenya
Wasomali,uharamia,0,3,0,3.333333333,Somalis,piracy,Swahili (sw) in Kenya,965,Somalia,Kenya
Wasomali,maharamia,0,3,0,3.333333333,Somalis,pirates,Swahili (sw) in Kenya,965,Somalia,Kenya
Waafghan,vita,0,3,0,3.333333333,Afghans,war,Swahili (sw) in Kenya,965,Afghanistan,Kenya
Waethiopia,wenye ngozi nyeusi,2,1,0,3.333333333,Ethiopians,dark skinned,Swahili (sw) in Kenya,965,Ethiopia,Kenya
WaSierra Leone,vita,1,2,0,3.333333333,Sierra Leoneans,war,Swahili (sw) in Kenya,965,Sierra Leone,Kenya
Waserbia,wapenda vita,1,2,0,3.333333333,Serbs,lovers of war,Swahili (sw) in Kenya,965,Serbia,Kenya
Hungarian,untrustworthy,0,3,0,3.0,Hungarian,untrustworthy,Swahili (sw) in Kenya,965,Hungary,Kenya
Wasudan Kusini,wanaoishi katika umaskini,1,2,0,3.0,South Sudanese,living in poverty,Swahili (sw) in Kenya,965,South Sudan,Kenya
Kimalawi,maskini,1,2,0,3.0,Malawian,poor,Swahili (sw) in Kenya,965,Malawi,Kenya
Wasiria,mzozo,1,2,0,3.0,Syrians,conflict,Swahili (sw) in Kenya,965,Syria,Kenya
Guinean,maskini,2,1,0,3.0,Guinean,poor,Swahili (sw) in Kenya,965,Guinea,Kenya
Waethiopia,wanawake walionyonywa,1,1,1,3.0,Ethiopians,exploited women,Swahili (sw) in Kenya,965,Ethiopia,Kenya
Wasomali,wanakula chakula kibaya,0,2,1,3.0,Somalis,they eat bad food,Swahili (sw) in Kenya,965,Somalia,Kenya
Wasomali,wanapenda vita,0,3,0,3.0,Somalis,they love war,Swahili (sw) in Kenya,965,Somalia,Kenya
Waafghan,wenye silaha,0,3,0,3.0,Afghans,armed,Swahili (sw) in Kenya,965,Afghanistan,Kenya
Wamarekani,wakorofi,1,2,0,3.0,Americans,mischievous,Swahili (sw) in Kenya,965,United States,Kenya
WaSierra Leone,maskini,1,2,0,3.0,Sierra Leoneans,poor,Swahili (sw) in Kenya,965,Sierra Leone,Kenya
Wasomali,maskini,1,2,0,3.0,Somalis,poor,Swahili (sw) in Kenya,965,Somalia,Kenya
Gambia,maskini,1,2,0,3.0,The Gambia,poor,Swahili (sw) in Kenya,965,Gambia,Kenya
Wasudan Kusini,wanaishi katika umasikini,0,3,0,3.0,South Sudanese,they live in poverty,Swahili (sw) in Kenya,965,South Sudan,Kenya
Wasomali,wana shida ya chakula,1,2,0,3.0,Somalis,they have a food problem,Swahili (sw) in Kenya,965,Somalia,Kenya
Wasudan Kusini,maskini,1,2,0,3.0,South Sudanese,poor,Swahili (sw) in Kenya,965,South Sudan,Kenya
Wasudan Kusini,masikini,1,2,0,2.666666667,South Sudanese,poor,Swahili (sw) in Kenya,965,South Sudan,Kenya
Kiayalandi,wanywaji wa pombe,1,2,0,2.666666667,Irish,alcoholic drinkers,Swahili (sw) in Kenya,965,Ireland,Kenya
Wasiria,mbaya,1,2,0,2.666666667,Syrians,bad,Swahili (sw) in Kenya,965,Syria,Kenya
Kiingereza,mkorofi,1,1,1,2.666666667,English,mischievous,Swahili (sw) in Kenya,965,United Kingdom,Kenya
Wakorea,chuki,0,3,0,2.666666667,Koreans,hatred,Swahili (sw) in Kenya,965,South Korea,Kenya
WaSierra Leone,masikini,1,2,0,2.666666667,Sierra Leoneans,poor,Swahili (sw) in Kenya,965,Sierra Leone,Kenya
Wamarekani,ubinafsi,0,3,0,2.666666667,Americans,selfishness,Swahili (sw) in Kenya,965,United States,Kenya
Wakorea,fujo,1,2,0,2.666666667,Koreans,a mess,Swahili (sw) in Kenya,965,South Korea,Kenya
Wakorea,kinyume cha sheria,0,2,1,2.666666667,Koreans,against the law,Swahili (sw) in Kenya,965,South Korea,Kenya
Madagascan,mweusi,1,2,0,2.333333333,Madagascan,black,Swahili (sw) in Kenya,965,Madagascar,Kenya
Mzambia,mweusi,1,2,0,2.333333333,Zambian,black,Swahili (sw) in Kenya,965,Zambia,Kenya
Guinean,mweusi,1,2,0,2.333333333,Guinean,black,Swahili (sw) in Kenya,965,Guinea,Kenya
Mtanzania,mafrika,2,1,0,2.333333333,Tanzanian,Africans,Swahili (sw) in Kenya,965,Tanzania,Kenya
Wamarekani,wabinafsi,1,2,0,2.333333333,Americans,selfish,Swahili (sw) in Kenya,965,United States,Kenya
Kihispania,kimapenzi,1,2,0,2.333333333,Spanish,romantic,Swahili (sw) in Kenya,965,Spain,Kenya
Wasomali,wasio na mpangilio,0,2,1,2.333333333,Somalis,unorganized,Swahili (sw) in Kenya,965,Somalia,Kenya
Wanigeria,mweusi,0,2,1,2.333333333,Nigerians,black,Swahili (sw) in Kenya,965,Nigeria,Kenya
Waethiopia,wanyonge,0,2,1,2.333333333,Ethiopians,the weak,Swahili (sw) in Kenya,965,Ethiopia,Kenya
Wasudan Kusini,wanatumia silaha,1,2,0,2.333333333,South Sudanese,they use weapons,Swahili (sw) in Kenya,965,South Sudan,Kenya
Mtanzania,mweusi,2,1,0,2.333333333,Tanzanian,black,Swahili (sw) in Kenya,965,Tanzania,Kenya
Kiitaliano,kimapenzi,2,1,0,2.333333333,Italian,romantic,Swahili (sw) in Kenya,965,Italy,Kenya
Kiitaliano,mweusi,1,1,1,2.333333333,Italian,black,Swahili (sw) in Kenya,965,Italy,Kenya
Wasudan Kusini,ufukara,1,2,0,2.333333333,South Sudanese,poverty,Swahili (sw) in Kenya,965,South Sudan,Kenya
Kifaransa,kupenda chakula,0,3,0,2.333333333,French,love food,Swahili (sw) in Kenya,965,France,Kenya
Waafghan,wakaidi,0,3,0,2.333333333,Afghans,stubborn,Swahili (sw) in Kenya,965,Afghanistan,Kenya
Mexican,lazy,0,3,0,2.333333333,Mexican,lazy,Swahili (sw) in Kenya,965,Mexico,Kenya
Wamarekani,mbinafsi,0,3,0,2.333333333,Americans,selfish,Swahili (sw) in Kenya,965,United States,Kenya
Mkenya,mweusi,1,2,0,2.333333333,Kenyan,black,Swahili (sw) in Kenya,965,Kenya,Kenya
Waafghan,wakimbizi,0,3,0,2.333333333,Afghans,refugees,Swahili (sw) in Kenya,965,Afghanistan,Kenya
Kifaransa,kimapenzi,2,1,0,2.333333333,French,romantic,Swahili (sw) in Kenya,965,France,Kenya
Wasiria,wakimbizi,1,2,0,2.333333333,Syrians,refugees,Swahili (sw) in Kenya,965,Syria,Kenya
Wakorea,ukandamizaji,0,3,0,2.333333333,Koreans,oppression,Swahili (sw) in Kenya,965,South Korea,Kenya
Waafghan,wanapigana,0,3,0,2.333333333,Afghans,they are fighting,Swahili (sw) in Kenya,965,Afghanistan,Kenya
Wamarekani,mnene,0,3,0,2.333333333,Americans,thick,Swahili (sw) in Kenya,965,United States,Kenya
Wamarekani,wabishi,1,2,0,2.333333333,Americans,argue,Swahili (sw) in Kenya,965,United States,Kenya
Saudis,waislamu,2,1,0,2.333333333,Saudis,Muslims,Swahili (sw) in Kenya,965,Saudi Arabia,Kenya
Wasomali,ni wapiganaji,1,2,0,2.333333333,Somalis,are fighters,Swahili (sw) in Kenya,965,Somalia,Kenya
Kiitaliano,wanapenda sana chakula,0,3,0,2.333333333,Italian,they really like food,Swahili (sw) in Kenya,965,Italy,Kenya
Wasomali,wamevaa nguo za kitambara,2,1,0,2.333333333,Somalis,they are wearing cloth clothes,Swahili (sw) in Kenya,965,Somalia,Kenya
Waethiopia,walikuwa na rangi ya ngozi nyeusi,1,2,0,2.333333333,Ethiopians,they had dark skin,Swahili (sw) in Kenya,965,Ethiopia,Kenya
Kiayalandi,mlevi,1,2,0,2.333333333,Irish,drunk,Swahili (sw) in Kenya,965,Ireland,Kenya
Wabosnia,waislamu,2,1,0,2.333333333,Bosnians,Muslims,Swahili (sw) in Kenya,965,Bosnia and Herzegovina,Kenya
Waserbia,mkali,0,3,0,2.0,Serbs,bright,Swahili (sw) in Kenya,965,Serbia,Kenya
Kifaransa,wapenzi wa chakula,1,2,0,2.0,French,food lovers,Swahili (sw) in Kenya,965,France,Kenya
Wakorea,mkali,0,2,1,2.0,Koreans,bright,Swahili (sw) in Kenya,965,South Korea,Kenya
Hungarian,unreliable,1,2,0,2.0,Hungarian,unreliable,Swahili (sw) in Kenya,965,Hungary,Kenya
Kijerumani,mkali,1,1,1,2.0,German,bright,Swahili (sw) in Kenya,965,Germany,Kenya
Wahindi,rangi nyingi,1,2,0,2.0,Indians,many colors,Swahili (sw) in Kenya,965,India,Kenya
Wahindi,rangi ya ngozi,1,1,1,2.0,Indians,skin color,Swahili (sw) in Kenya,965,India,Kenya
Kifaransa,wanapenda mapenzi,1,2,0,2.0,French,they love romance,Swahili (sw) in Kenya,965,France,Kenya
Waserbia,wababe,2,1,0,2.0,Serbs,tyrants,Swahili (sw) in Kenya,965,Serbia,Kenya
Kilatvia,mkali,0,3,0,2.0,Latvian,bright,Swahili (sw) in Kenya,965,Latvia,Kenya
Wamarekani,burger,1,1,1,2.0,Americans,burger,Swahili (sw) in Kenya,965,United States,Kenya
Kirusi,wanapenda kunywa vodka,1,2,0,2.0,Russian,they like to drink vodka,Swahili (sw) in Kenya,965,Russia,Kenya
Kirusi,mkali,1,2,0,2.0,Russian,bright,Swahili (sw) in Kenya,965,Russia,Kenya
Wabosnia,mkali,1,2,0,2.0,Bosnians,bright,Swahili (sw) in Kenya,965,Bosnia and Herzegovina,Kenya
Wamarekani,wanene,0,3,0,2.0,Americans,fat,Swahili (sw) in Kenya,965,United States,Kenya
Waserbia,wenye hasira,0,3,0,1.666666667,Serbs,angry,Swahili (sw) in Kenya,965,Serbia,Kenya
Waethiopia,wakazi wa miji,1,2,0,1.666666667,Ethiopians,urban dwellers,Swahili (sw) in Kenya,965,Ethiopia,Kenya
Wasomali,wanaomba msaada,1,2,0,1.666666667,Somalis,they ask for help,Swahili (sw) in Kenya,965,Somalia,Kenya
Kirusi,wanapenda vodka,1,2,0,1.666666667,Russian,they like vodka,Swahili (sw) in Kenya,965,Russia,Kenya
Wakorea,kikali,0,2,1,1.666666667,Koreans,sharp,Swahili (sw) in Kenya,965,South Korea,Kenya
Wasudan Kusini,walikuwa na shida,1,2,0,1.666666667,South Sudanese,they had a problem,Swahili (sw) in Kenya,965,South Sudan,Kenya
Wasudan Kusini,wahanga wa vita,0,2,1,1.666666667,South Sudanese,victims of war,Swahili (sw) in Kenya,965,South Sudan,Kenya
Wasudan Kusini,wasio na chakula,1,2,0,1.666666667,South Sudanese,those without food,Swahili (sw) in Kenya,965,South Sudan,Kenya
Waajentina,mhemko,1,2,0,1.666666667,Argentinians,mood,Swahili (sw) in Kenya,965,Argentina,Kenya
Wanamibia,jangwa,2,1,0,1.666666667,Namibians,the desert,Swahili (sw) in Kenya,965,Namibia,Kenya
Saudis,wanapenda pesa,1,2,0,1.333333333,Saudis,they love money,Swahili (sw) in Kenya,965,Saudi Arabia,Kenya
Wafilipino,wanapenda kula,1,2,0,1.333333333,Filipinos,they like to eat,Swahili (sw) in Kenya,965,Philippines,Kenya
Wakorea,kihafidhina,0,2,1,1.333333333,Koreans,conservative,Swahili (sw) in Kenya,965,South Korea,Kenya
Wacuba,sigara,2,1,0,1.333333333,Cubans,cigarettes,Swahili (sw) in Kenya,965,Cuba,Kenya
Kimongolia,nomad,1,1,1,1.333333333,Mongolian,nomad,Swahili (sw) in Kenya,965,Mongolia,Kenya
Wahindi,curry,1,2,0,1.333333333,Indians,curry,Swahili (sw) in Kenya,965,India,Kenya
Wasomali,kabila,1,2,0,1.333333333,Somalis,tribe,Swahili (sw) in Kenya,965,Somalia,Kenya
Wamarekani,wanapenda kula,1,2,0,1.333333333,Americans,they like to eat,Swahili (sw) in Kenya,965,United States,Kenya
Waethiopia,walikimbia,0,3,0,1.333333333,Ethiopians,they ran away,Swahili (sw) in Kenya,965,Ethiopia,Kenya
Saudis,kihafidhina,0,3,0,1.333333333,Saudis,conservative,Swahili (sw) in Kenya,965,Saudi Arabia,Kenya
Waisraeli,wajanja,2,1,0,1.333333333,Israelis,clever,Swahili (sw) in Kenya,965,Israel,Kenya
Kiitaliano,lugha ya kimapenzi,0,3,0,1.333333333,Italian,romantic language,Swahili (sw) in Kenya,965,Italy,Kenya
Wamarekani,wanapenda pesa,0,3,0,1.333333333,Americans,they love money,Swahili (sw) in Kenya,965,United States,Kenya
Kiitaliano,kupenda sana kula,1,2,0,1.333333333,Italian,love to eat,Swahili (sw) in Kenya,965,Italy,Kenya
Wahindi,wanapenda kula,0,3,0,1.333333333,Indians,they like to eat,Swahili (sw) in Kenya,965,India,Kenya
Waethiopia,walikula chakula sana,0,2,1,1.333333333,Ethiopians,they ate a lot of food,Swahili (sw) in Kenya,965,Ethiopia,Kenya
Wabosnia,kiislamu,1,2,0,1.0,Bosnians,Islamic,Swahili (sw) in Kenya,965,Bosnia and Herzegovina,Kenya
Wamarekani,wapenda pesa,1,2,0,1.0,Americans,lovers of money,Swahili (sw) in Kenya,965,United States,Kenya
Waganda,wapenda utani,2,1,0,1.0,Ugandans,joke lovers,Swahili (sw) in Kenya,965,Uganda,Kenya
Waethiopia,kutoroka,0,2,1,1.0,Ethiopians,to escape,Swahili (sw) in Kenya,965,Ethiopia,Kenya
Wakameruni,moody,2,1,0,1.0,Cameroonians,moody,Swahili (sw) in Kenya,965,Cameroon,Kenya
Kiitaliano,wanaongea sana,1,2,0,1.0,Italian,they talk a lot,Swahili (sw) in Kenya,965,Italy,Kenya
Wasudan Kusini,wanasumbuliwa,1,1,1,1.0,South Sudanese,they are disturbed,Swahili (sw) in Kenya,965,South Sudan,Kenya
Hellenes,wapenda utamaduni,1,2,0,1.0,Hellenes,culture lovers,Swahili (sw) in Kenya,965,Greece,Kenya
Wahindi,wanapenda rangi,0,2,1,1.0,Indians,they love color,Swahili (sw) in Kenya,965,India,Kenya
Kiitaliano,lugha ngumu,1,2,0,1.0,Italian,difficult language,Swahili (sw) in Kenya,965,Italy,Kenya
Kikorea Kusini,wanapenda urembo,1,2,0,1.0,South Korean,they love beauty,Swahili (sw) in Kenya,965,South Korea,Kenya
Saudis,kiislamu,2,1,0,1.0,Saudis,Islamic,Swahili (sw) in Kenya,965,Saudi Arabia,Kenya
Kiazabajani,kiislamu,2,1,0,1.0,Azerbaijani,Islamic,Swahili (sw) in Kenya,965,Azerbaijan,Kenya
Waajentina,wenye shauku,1,2,0,1.0,Argentinians,passionate,Swahili (sw) in Kenya,965,Argentina,Kenya
Wasingapori,waoga,0,3,0,1.0,Singaporeans,cowards,Swahili (sw) in Kenya,965,Singapore,Kenya
